fips,cohort_year,sex,race,age_group,off_type,repeat_contact,fe_rate,N_fe_rate,mi_rate,N_mi_rate,inc_rate,N_inc_rate,par_rate,N_par_rate,pro_rate,N_pro_rate,avg_coal_prod,med_coal_prod,tot_coal_prod,first_year,last_year,coal_prod_max,county_pop,peak_coal_prod_year,event_time,log_coal_prod,min_event_time,max_event_time
24023,2004,0,0,0,1,0,426,29800,1445,29800,,,,,,,390703.333333333,34154,3516330,2000,2017,3872147,29800,2005,-2,15.0729283900382,-6,11
24023,2004,0,0,0,2,0,626,29800,2065,29800,,,,,,,390703.333333333,34154,3516330,2000,2017,3872147,29800,2005,-2,15.0729283900382,-6,11
24023,2004,0,0,0,3,0,348,29800,1729,29800,,,,,,,390703.333333333,34154,3516330,2000,2017,3872147,29800,2005,-2,15.0729283900382,-6,11
24023,2005,0,0,0,0,0,1581,29700,7597,29700,,,,,,,430238.555555556,64138,3872147,2000,2017,3872147,29700,2005,-1,15.169319691534,-6,11
24023,2005,0,0,0,1,0,399,29700,1427,29700,,,,,,,430238.555555556,64138,3872147,2000,2017,3872147,29700,2005,-1,15.169319691534,-6,11
24023,2005,0,0,0,2,0,740,29700,2348,29700,,,,,,,430238.555555556,64138,3872147,2000,2017,3872147,29700,2005,-1,15.169319691534,-6,11
24023,2005,0,0,0,3,0,403,29700,2009,29700,,,,,,,430238.555555556,64138,3872147,2000,2017,3872147,29700,2005,-1,15.169319691534,-6,11
24023,2006,0,0,0,0,0,1622,29700,7744,29700,,,,,,,447782.75,102616,3582262,2000,2017,3872147,29700,2005,0,15.0915050024232,-6,11
24023,2006,0,0,0,1,0,447,29700,1500,29700,,,,,,,447782.75,102616,3582262,2000,2017,3872147,29700,2005,0,15.0915050024232,-6,11
24023,2006,0,0,0,2,0,694,29700,2113,29700,,,,,,,447782.75,102616,3582262,2000,2017,3872147,29700,2005,0,15.0915050024232,-6,11
24023,2006,0,0,0,3,0,447,29700,2158,29700,,,,,,,447782.75,102616,3582262,2000,2017,3872147,29700,2005,0,15.0915050024232,-6,11
24023,2007,0,0,0,0,0,1491,29700,7605,29700,,,,,,,111518.75,62712.5,892150,2000,2017,3872147,29700,2005,1,13.7013895588596,-6,11
24023,2007,0,0,0,1,0,403,29700,1553,29700,,,,,,,111518.75,62712.5,892150,2000,2017,3872147,29700,2005,1,13.7013895588596,-6,11
24023,2007,0,0,0,2,0,712,29700,2205,29700,,,,,,,111518.75,62712.5,892150,2000,2017,3872147,29700,2005,1,13.7013895588596,-6,11
24023,2007,0,0,0,3,0,328,29700,1925,29700,,,,,,,111518.75,62712.5,892150,2000,2017,3872147,29700,2005,1,13.7013895588596,-6,11
24023,2008,0,0,0,0,0,1335,29700,6767,29700,,,,,,,104391.888888889,60148,939527,2000,2017,3872147,29700,2005,2,13.7531318361135,-6,11
24023,2008,0,0,0,1,0,378,29700,1466,29700,,,,,,,104391.888888889,60148,939527,2000,2017,3872147,29700,2005,2,13.7531318361135,-6,11
24023,2008,0,0,0,2,0,631,29700,2035,29700,,,,,,,104391.888888889,60148,939527,2000,2017,3872147,29700,2005,2,13.7531318361135,-6,11
24023,2008,0,0,0,3,0,268,29700,1591,29700,,,,,,,104391.888888889,60148,939527,2000,2017,3872147,29700,2005,2,13.7531318361135,-6,11
24023,2009,0,0,0,0,0,1357,29600,6764,29600,,,,,,,69174.1111111111,16326,622567,2000,2017,3872147,29600,2005,3,13.3416065320513,-6,11
24023,2009,0,0,0,1,0,417,29600,1586,29600,,,,,,,69174.1111111111,16326,622567,2000,2017,3872147,29600,2005,3,13.3416065320513,-6,11
24023,2009,0,0,0,2,0,647,29600,1954,29600,,,,,,,69174.1111111111,16326,622567,2000,2017,3872147,29600,2005,3,13.3416065320513,-6,11
24023,2009,0,0,0,3,0,255,29600,1560,29600,,,,,,,69174.1111111111,16326,622567,2000,2017,3872147,29600,2005,3,13.3416065320513,-6,11
40035,2004,0,0,0,0,0,1062,14900,2585,14900,457,14900,46,14900,,,288382,288382,288382,2000,2020,367804,14900,2006,-3,12.5720412691303,-7,13
40035,2004,0,0,0,1,0,168,14900,184,14900,,,,,,,288382,288382,288382,2000,2020,367804,14900,2006,-3,12.5720412691303,-7,13
40035,2004,0,0,0,2,0,293,14900,1313,14900,,,,,,,288382,288382,288382,2000,2020,367804,14900,2006,-3,12.5720412691303,-7,13
40035,2004,0,0,0,3,0,284,14900,153,14900,,,,,,,288382,288382,288382,2000,2020,367804,14900,2006,-3,12.5720412691303,-7,13
40035,2005,0,0,0,0,0,1050,15000,2217,15000,469,15000,32,15000,,,302499,302499,302499,2000,2020,367804,15000,2006,-2,12.6198332506624,-7,13
40035,2005,0,0,0,1,0,155,15000,190,15000,,,,,,,302499,302499,302499,2000,2020,367804,15000,2006,-2,12.6198332506624,-7,13
40035,2005,0,0,0,2,0,299,15000,983,15000,,,,,,,302499,302499,302499,2000,2020,367804,15000,2006,-2,12.6198332506624,-7,13
40035,2005,0,0,0,3,0,284,15000,149,15000,,,,,,,302499,302499,302499,2000,2020,367804,15000,2006,-2,12.6198332506624,-7,13
40035,2006,0,0,0,0,0,929,15000,2125,15000,503,15000,25,15000,,,367804,367804,367804,2000,2020,367804,15000,2006,-1,12.815305466569,-7,13
40035,2006,0,0,0,1,0,155,15000,184,15000,,,,,,,367804,367804,367804,2000,2020,367804,15000,2006,-1,12.815305466569,-7,13
