Gross Output by Industry
Gross Output by Industry
"Last Revised on: September 25, 2025"
Line,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Line,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        All industries",18625.7,18884.5,19173.8,20140.7,21689.1,23517.9,24925.5,26250.3,27024.9,24959.3,26479.5,28050.3,29232.2,30388.8,31795.7,32233.9,32898.1,34468.1,36504.5,37658.0,36714.6,41833.3,46611.2,48540.3,50736.6
7,"        Oil and gas extraction",143.0,142.3,116.7,166.0,191.0,249.2,257.4,276.9,388.4,227.6,304.7,372.9,362.6,412.8,445.7,241.5,199.8,254.0,346.6,316.0,211.1,420.0,653.8,467.7,456.0
8,"        Mining, except oil and gas",54.7,55.1,54.4,57.4,67.3,84.3,100.8,104.5,116.2,104.9,112.7,130.9,124.6,114.4,116.1,104.4,94.8,101.9,106.9,106.1,96.7,117.1,138.1,141.3,139.9

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
